"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g616",243.784584814439,-1.83739494595896,0.431141151602227,-4.26170162400583,2.02876199153722e-05,0.000224489807298858
"g1754",950.105435283303,-3.03084199532207,0.712557948105627,-4.25346738939581,2.10485603561114e-05,0.000231397484953874
"g156",219.355291473961,-1.83266501855975,0.432111321569022,-4.2411872290345,2.22340564565301e-05,0.00024285327471552
"g1692",427.488771361142,-1.66228678806964,0.392323377842205,-4.237032208512,2.26493656038336e-05,0.000245803692098014
"g223",19.6626141909197,3.14060537304871,0.743240362253189,4.22555815392981,2.38349259862424e-05,0.000256754989262785
"g1936",164.383429608784,2.00070057094177,0.473610024314265,4.22436280532399,2.39617769069817e-05,0.000256754989262785
"g634",2001.61431011185,-1.83042537049672,0.434289561274899,-4.21475792584867,2.50046243829418e-05,0.00026624420805233
"g1764",434.211050243183,-1.31427457133868,0.311941098937267,-4.21321389139233,2.51762440891588e-05,0.000266396132768411
"g1593",2144.24613983904,1.70229332751595,0.404180149485162,4.21171927835721,2.5343437406786e-05,0.000266499624408005
"g234",143.922026323672,-4.04976622947022,0.965474064986306,-4.19458831297313,2.73367631342011e-05,0.000285686049297546
"g1133",4172.91610174443,1.65811706610071,0.396789371374315,4.17883437844535,2.93006960275075e-05,0.000304331769169142
"g1470",74.9681866971393,-2.2694910598295,0.543669777501765,-4.17439253338326,2.9878221522312e-05,0.000308437981934599
"g507",1443.8732952655,1.22536667738669,0.293703219404311,4.17212545327892,3.01771397691339e-05,0.000309635743206931
"g1412",104.766164210048,-2.27282943835963,0.545310342880012,-4.1679558585958,3.07343431861135e-05,0.000313453271169218
"g422",826.559677893786,1.61866883000935,0.389792189712907,4.15264562176462,3.28653482973853e-05,0.000333179848308223
"g584",801.588008438792,1.31232004235209,0.316639480964108,4.14452436050085,3.40519757744856e-05,0.000343154732060739
"g288",11.4689521623906,7.07230845207691,1.7118576354429,4.13136484345972,3.60615697860995e-05,0.000361255844070216
"g1140",380.580831842494,-1.80506868582514,0.437571163702899,-4.12520027725306,3.70412281754007e-05,0.000368887054711491
"g640",549.060839347412,1.20011196881343,0.291946627064956,4.11072387058753,3.94420656837583e-05,0.000390499515804695
"g1504",61.5469330802989,-1.76681848148342,0.430412341100816,-4.10494382425148,4.04413142303531e-05,0.000398064796465045
"g1493",18.7796524130767,5.31943061046156,1.29654042498009,4.10278808741596,4.08201099135403e-05,0.000399470786610542
"g212",74.6718415197771,-2.18950777498219,0.534233767622986,-4.09840767783018,4.16002102785917e-05,0.000404765264377332
"g186",12.4493395465955,3.89109431559377,0.950047396278484,4.09568441620484,4.20923000767509e-05,0.00040627471544044
"g478",7749.754253485,-1.7001011068637,0.415269301220811,-4.0939725182327,4.24044594043776e-05,0.00040627471544044
