"GO.ID","Term","Annotated","Significant","Expected","Fisher","padj"
"GO:0098727","maintenance of cell number",10,5,2.86,0.1262,0.986233576642336
"GO:1902531","regulation of intracellular signal trans...",10,5,2.86,0.1262,0.986233576642336
"GO:0010383","cell wall polysaccharide metabolic proce...",13,6,3.72,0.1364,0.986233576642336
"GO:0010608","post-transcriptional regulation of gene ...",13,6,3.72,0.1364,0.986233576642336
"GO:0080167","response to karrikin",13,6,3.72,0.1364,0.986233576642336
"GO:0071554","cell wall organization or biogenesis",40,15,11.45,0.1369,0.986233576642336
"GO:0009653","anatomical structure morphogenesis",75,26,21.47,0.1387,0.986233576642336
"GO:0009891","positive regulation of biosynthetic proc...",37,14,10.59,0.1394,0.986233576642336
"GO:0018205","peptidyl-lysine modification",16,7,4.58,0.1421,0.986233576642336
"GO:0051716","cellular response to stimulus",151,49,43.24,0.1426,0.986233576642336
"GO:0009893","positive regulation of metabolic process",56,20,16.03,0.1431,0.986233576642336
"GO:0000165","MAPK cascade",5,3,1.43,0.1447,0.986233576642336
"GO:0006367","transcription initiation at RNA polymera...",5,3,1.43,0.1447,0.986233576642336
"GO:0006475","internal protein amino acid acetylation",5,3,1.43,0.1447,0.986233576642336
"GO:0009792","embryo development ending in birth or eg...",5,3,1.43,0.1447,0.986233576642336
"GO:0018393","internal peptidyl-lysine acetylation",5,3,1.43,0.1447,0.986233576642336
"GO:0030435","sporulation resulting in formation of a ...",5,3,1.43,0.1447,0.986233576642336
"GO:0031348","negative regulation of defense response",5,3,1.43,0.1447,0.986233576642336
"GO:0036265","RNA (guanine-N7)-methylation",5,3,1.43,0.1447,0.986233576642336
"GO:0042060","wound healing",5,3,1.43,0.1447,0.986233576642336
"GO:0043068","positive regulation of programmed cell d...",5,3,1.43,0.1447,0.986233576642336
"GO:0043408","regulation of MAPK cascade",5,3,1.43,0.1447,0.986233576642336
"GO:0044038","cell wall macromolecule biosynthetic pro...",5,3,1.43,0.1447,0.986233576642336
"GO:0048767","root hair elongation",5,3,1.43,0.1447,0.986233576642336
"GO:0051260","protein homooligomerization",5,3,1.43,0.1447,0.986233576642336
"GO:0070475","rRNA base methylation",5,3,1.43,0.1447,0.986233576642336
"GO:0070476","rRNA (guanine-N7)-methylation",5,3,1.43,0.1447,0.986233576642336
"GO:0070585","protein localization to mitochondrion",5,3,1.43,0.1447,0.986233576642336
"GO:0070592","cell wall polysaccharide biosynthetic pr...",5,3,1.43,0.1447,0.986233576642336
"GO:0071900","regulation of protein serine/threonine k...",5,3,1.43,0.1447,0.986233576642336
"GO:1901568","fatty acid derivative metabolic process",5,3,1.43,0.1447,0.986233576642336
"GO:1902532","negative regulation of intracellular sig...",5,3,1.43,0.1447,0.986233576642336
"GO:1990110","callus formation",5,3,1.43,0.1447,0.986233576642336
"GO:0045934","negative regulation of nucleobase-contai...",19,8,5.44,0.145,0.986233576642336
"GO:0048580","regulation of post-embryonic development",19,8,5.44,0.145,0.986233576642336
"GO:0009966","regulation of signal transduction",25,10,7.16,0.146,0.986233576642336
"GO:0010646","regulation of cell communication",25,10,7.16,0.146,0.986233576642336
"GO:0023051","regulation of signaling",25,10,7.16,0.146,0.986233576642336
"GO:0050789","regulation of biological process",253,79,72.44,0.1461,0.986233576642336
"GO:0060255","regulation of macromolecule metabolic pr...",128,42,36.65,0.1473,0.986233576642336
"GO:0048856","anatomical structure development",175,56,50.11,0.1491,0.986233576642336
"GO:0010556","regulation of macromolecule biosynthetic...",105,35,30.06,0.1497,0.986233576642336
"GO:0019219","regulation of nucleobase-containing comp...",92,31,26.34,0.1519,0.986233576642336
"GO:0006351","DNA-templated transcription",79,27,22.62,0.1527,0.986233576642336
"GO:0080090","regulation of primary metabolic process",122,40,34.93,0.1571,0.986233576642336
"GO:0008152","metabolic process",554,164,158.62,0.1591,0.986233576642336
"GO:0006401","RNA catabolic process",8,4,2.29,0.1688,0.986233576642336
"GO:0018022","peptidyl-lysine methylation",8,4,2.29,0.1688,0.986233576642336
"GO:0040011","locomotion",8,4,2.29,0.1688,0.986233576642336
"GO:0045454","cell redox homeostasis",8,4,2.29,0.1688,0.986233576642336
"GO:0048545","response to steroid hormone",8,4,2.29,0.1688,0.986233576642336
"GO:0051240","positive regulation of multicellular org...",8,4,2.29,0.1688,0.986233576642336
"GO:0090056","regulation of chlorophyll metabolic proc...",8,4,2.29,0.1688,0.986233576642336
"GO:0141188","nucleic acid catabolic process",8,4,2.29,0.1688,0.986233576642336
"GO:1901401","regulation of tetrapyrrole metabolic pro...",8,4,2.29,0.1688,0.986233576642336
"GO:0010154","fruit development",35,13,10.02,0.1701,0.986233576642336
"GO:0048316","seed development",35,13,10.02,0.1701,0.986233576642336
"GO:0019538","protein metabolic process",238,74,68.15,0.1724,0.986233576642336
"GO:0065009","regulation of molecular function",32,12,9.16,0.1737,0.986233576642336
"GO:0044085","cellular component biogenesis",90,30,25.77,0.1753,0.986233576642336
"GO:0006355","regulation of DNA-templated transcriptio...",77,26,22.05,0.1775,0.986233576642336
"GO:2001141","regulation of RNA biosynthetic process",77,26,22.05,0.1775,0.986233576642336
"GO:0048528","post-embryonic root development",11,5,3.15,0.1795,0.986233576642336
"GO:0031399","regulation of protein modification proce...",23,9,6.59,0.1829,0.986233576642336
"GO:0044036","cell wall macromolecule metabolic proces...",14,6,4.01,0.1841,0.986233576642336
"GO:0043414","macromolecule methylation",20,8,5.73,0.1847,0.986233576642336
"GO:0009888","tissue development",45,16,12.88,0.1851,0.986233576642336
"GO:0010015","root morphogenesis",17,7,4.87,0.1854,0.986233576642336
"GO:0015979","photosynthesis",17,7,4.87,0.1854,0.986233576642336
"GO:0032502","developmental process",181,57,51.82,0.1857,0.986233576642336
"GO:0007165","signal transduction",94,31,26.91,0.1889,0.986233576642336
"GO:0023052","signaling",94,31,26.91,0.1889,0.986233576642336
"GO:0032774","RNA biosynthetic process",128,41,36.65,0.2017,0.986233576642336
"GO:0006325","chromatin organization",33,12,9.45,0.2067,0.986233576642336
"GO:0043170","macromolecule metabolic process",376,113,107.66,0.2089,0.986233576642336
"GO:0016070","RNA metabolic process",142,45,40.66,0.2114,0.986233576642336
"GO:0033554","cellular response to stress",59,20,16.89,0.2144,0.986233576642336
"GO:0048366","leaf development",27,10,7.73,0.2178,0.986233576642336
"GO:2000026","regulation of multicellular organismal d...",27,10,7.73,0.2178,0.986233576642336
"GO:0006397","mRNA processing",24,9,6.87,0.2233,0.986233576642336
"GO:0009755","hormone-mediated signaling pathway",40,14,11.45,0.2274,0.986233576642336
"GO:0050793","regulation of developmental process",40,14,11.45,0.2274,0.986233576642336
"GO:0009101","glycoprotein biosynthetic process",21,8,6.01,0.2285,0.986233576642336
"GO:0033043","regulation of organelle organization",21,8,6.01,0.2285,0.986233576642336
"GO:0048468","cell development",21,8,6.01,0.2285,0.986233576642336
"GO:0006352","DNA-templated transcription initiation",6,3,1.72,0.2301,0.986233576642336
"GO:0006470","protein dephosphorylation",6,3,1.72,0.2301,0.986233576642336
"GO:0006626","protein targeting to mitochondrion",6,3,1.72,0.2301,0.986233576642336
"GO:0007033","vacuole organization",6,3,1.72,0.2301,0.986233576642336
"GO:0010030","positive regulation of seed germination",6,3,1.72,0.2301,0.986233576642336
"GO:0010078","maintenance of root meristem identity",6,3,1.72,0.2301,0.986233576642336
"GO:0010117","photoprotection",6,3,1.72,0.2301,0.986233576642336
"GO:0010563","negative regulation of phosphorus metabo...",6,3,1.72,0.2301,0.986233576642336
